Date,eth_Close,btc_Close
2017-11-15,6667,7316
2017-12-01,9331,10976
2017-12-15,13689,17707
2018-01-01,15453,13657
2018-01-15,25838,13820
2018-02-01,20736,9171
2018-02-15,18740,10166
2018-03-01,17444,10951
2018-03-15,12226,8301
2018-04-01,7592,6844
2018-04-15,10634,8329
2018-05-01,13472,9119
2018-05-15,14177,8510
2018-06-01,11601,7541
2018-06-15,9820,6457
2018-07-01,9078,6386
2018-07-15,8997,6360
2018-08-01,8415,7625
2018-08-15,5647,6309
2018-09-01,5907,7193
2018-09-15,4461,6543
2018-10-01,4615,6590
2018-10-15,4194,6597
2018-11-01,3977,6378
2018-11-15,3616,5648
2018-12-01,2373,4215
2018-12-15,1689,3237
2019-01-01,2816,3844
2019-01-15,2441,3631
2019-02-01,2152,3488
2019-02-15,2442,3621
2019-03-01,2729,3860
2019-03-15,2754,3961
2019-04-01,2837,4158
2019-04-15,3231,5067
2019-05-01,3216,5403
2019-05-15,4943,8205
2019-06-01,5308,8564
2019-06-15,5380,8838
2019-07-01,5873,10583
2019-07-15,4596,10895
2019-08-01,4356,10400
2019-08-15,3770,10312
2019-09-01,3433,9758
2019-09-15,3796,10348
2019-10-01,3547,8343
2019-10-15,3628,8205
2019-11-01,3679,9261
2019-11-15,3610,8492
2019-12-01,3024,7424
2019-12-15,2862,7152
2020-01-01,2616,7200
2020-01-15,3325,8807
2020-02-01,3673,9393
2020-02-15,5295,9889
2020-03-01,4379,8562
2020-03-15,2504,5392
2020-04-01,2713,6607
2020-04-15,3066,6642
2020-05-01,4284,8865
2020-05-15,3912,9328
2020-06-01,4940,10167
2020-06-15,4599,9451
2020-07-01,4622,9228
2020-07-15,4768,9193
2020-08-01,7704,11760
2020-08-15,8667,11866
2020-09-01,9541,11970
2020-09-15,7297,10797
2020-10-01,7064,10619
2020-10-15,7549,11495
2020-11-01,7927,13737
2020-11-15,8951,15956
2020-12-01,11746,18803
2020-12-15,11787,19417
2021-01-01,14607,29374
2021-01-15,23437,36825
2021-02-01,27381,33537
2021-02-15,35596,47945
2021-03-01,31294,49631
2021-03-15,35834,55907
2021-04-01,39546,59096
2021-04-15,50382,63314
2021-05-01,58918,57828
2021-05-15,72762,46760
2021-06-01,52670,36685
2021-06-15,52219,40406
2021-07-01,42272,33572
2021-07-15,38224,31781
2021-08-01,51237,39975
2021-08-15,66210,47047
2021-09-01,76697,48847
2021-09-15,72306,48176
2021-10-01,66150,48117
2021-10-15,77253,61594
2021-11-01,86493,61004
2021-11-15,91150,63558
2021-12-01,91740,57230
2021-12-15,80368,48897
2022-01-01,75394,47687
2022-01-15,66611,43177
2022-02-01,55842,38743
2022-02-15,63598,44575
2022-03-01,59450,44355
2022-03-15,52403,39339
2022-04-01,68991,46282
2022-04-15,60818,40553
2022-05-01,56555,38469
2022-05-15,42914,31305
2022-06-01,36471,29799
2022-06-15,24664,22573
2022-07-01,21195,19269
2022-07-15,24663,20836
2022-08-01,32704,23314
2022-08-15,38085,24137
2022-09-01,31724,20127
2022-09-15,29434,19701
2022-10-01,26233,19312
2022-10-15,25497,19068
2022-11-01,31594,20485
2022-11-15,25035,16885
2022-12-01,25525,16967
2022-12-15,25327,17365
2023-01-01,24019,16625
2023-01-15,31050,20881
2023-02-01,32836,23724
2023-02-15,33475,24308
2023-03-01,33269,23647
2023-03-15,33124,24376
2023-04-01,36277,28411
2023-04-15,41849,30318
2023-05-01,36639,28092
2023-05-15,36351,27193
2023-06-01,37244,26820
2023-06-15,33310,25576
2023-07-01,38491,30590
2023-07-15,38629,30296
2023-08-01,37436,29676
2023-08-15,36539,29170
2023-09-01,32570,25801
2023-09-15,32833,26609
2023-10-01,34676,27984
2023-10-15,31161,27160
2023-11-01,36942,35437
2023-11-15,41208,37881
2023-12-01,41743,38689
2023-12-15,44387,41930
2024-01-01,47047,44167
2024-01-15,50227,42512
2024-02-01,46076,43076
2024-02-15,56488,51939
2024-03-01,68701,62441
2024-03-15,74704,69404
2024-04-01,70101,69702
